,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
346,The Exorcist,1973,8.1,81.0,83.0,457K
347,The Sting,1973,8.3,83.0,83.0,281K
348,American Graffiti,1973,7.4,74.0,97.0,99K
349,Papillon,1973,8.0,80.0,58.0,139K
350,Live and Let Die,1973,6.7,67.0,55.0,116K
351,Robin Hood,1973,7.5,75.0,57.0,139K
352,Paper Moon,1973,8.1,81.0,77.0,53K
353,Serpico,1973,7.7,77.0,83.0,135K
354,Enter the Dragon,1973,7.6,76.0,83.0,113K
355, Jesus Christ Superstar,1973,7.4,74.0,64.0,30K
356, The Three Musketeers,1973,7.1,71.0,77.0,20K
357, The Day of the Jackal,1973,7.8,78.0,80.0,45K
358, Westworld,1973,6.9,69.0,77.0,63K
359, High Plains Drifter,1973,7.4,74.0,69.0,65K
360, Scarecrow,1973,7.2,72.0,72.0,19K
361, Battle for the Planet of the Apes,1973,5.4,54.0,40.0,35K
362, Soylent Green,1973,7.0,70.0,66.0,71K
363, Charlotte's Web,1973,6.9,69.0,73.0,23K
364, Walking Tall,1973,6.9,69.0,60.0,6.8K
365, Magnum Force,1973,7.2,72.0,58.0,67K
366,Blazing Saddles,1974,7.7,77.0,73.0,153K
367,The Towering Inferno,1974,7.0,70.0,69.0,48K
368,Young Frankenstein,1974,8.0,80.0,83.0,169K
369,Earthquake,1974,5.9,59.0,56.0,18K
370,The Godfather Part II,1974,9.0,90.0,90.0,1.4M
371,Airport 1975,1974,5.7,57.0,50.0,12K
372,Benji,1974,6.1,61.0,35.0,5.2K
373, Herbie Rides Again,1974,5.7,57.0,49.0,8.9K
374, The Texas Chain Saw Massacre,1974,7.4,74.0,90.0,185K
375, That's Entertainment!,1974,7.8,78.0,73.0,5.4K
376, Thunderbolt and Lightfoot,1974,7.0,70.0,62.0,29K
377, Death Wish,1974,6.9,69.0,51.0,44K
378, The Man with the Golden Gun,1974,6.7,67.0,43.0,113K
379, Alice Doesn't Live Here Anymore,1974,7.3,73.0,78.0,28K
380, The Front Page,1974,7.3,73.0,62.0,15K
381, A Woman Under the Influence,1974,8.0,80.0,88.0,29K
382, California Split,1974,7.1,71.0,85.0,8.4K
383, Lenny,1974,7.5,75.0,61.0,18K
384,Jaws,1975,8.1,81.0,87.0,662K
385,The Rocky Horror Picture Show,1975,7.4,74.0,65.0,167K
386,One Flew Over the Cuckoo's Nest,1975,8.7,87.0,84.0,1.1M
387,Dog Day Afternoon,1975,8.0,80.0,86.0,274K
388,Shampoo,1975,6.4,64.0,65.0,14K
389,The Return of the Pink Panther,1975,7.0,70.0,61.0,30K
390,Three Days of the Condor,1975,7.4,74.0,63.0,63K
391,The Apple Dumpling Gang,1975,6.4,64.0,59.0,6.6K
392, Tommy,1975,6.6,66.0,66.0,23K
393, Rollerball,1975,6.5,65.0,56.0,29K
394, Escape to Witch Mountain,1975,6.3,63.0,60.0,11K
395, The Day of the Locust,1975,6.9,69.0,61.0,6.4K
396, Breakout,1975,6.1,61.0,44.0,4.7K
397, Nashville,1975,7.6,76.0,96.0,29K
398, Race with the Devil,1975,6.6,66.0,53.0,7.4K
399, French Connection II,1975,6.7,67.0,68.0,21K
400,Rocky,1976,8.1,81.0,70.0,631K
401,A Star Is Born,1976,6.1,61.0,59.0,13K
402,All the President's Men,1976,7.9,79.0,84.0,126K
403,King Kong,1976,6.0,60.0,61.0,36K
404,The Enforcer,1976,6.7,67.0,58.0,49K
405,The Bad News Bears,1976,7.3,73.0,84.0,25K
406,Silent Movie,1976,6.7,67.0,75.0,19K
407,The Pink Panther Strikes Again,1976,7.1,71.0,60.0,32K
408, Carrie,1976,7.4,74.0,86.0,208K
409, The Outlaw Josey Wales,1976,7.8,78.0,69.0,80K
410, Taxi Driver,1976,8.2,82.0,94.0,925K
411, Freaky Friday,1976,6.3,63.0,51.0,14K
412, Logan's Run,1976,6.8,68.0,53.0,61K
413, Marathon Man,1976,7.4,74.0,64.0,70K
414, The Missouri Breaks,1976,6.5,65.0,65.0,12K
415, Gator,1976,5.8,58.0,41.0,4.9K
416, Futureworld,1976,5.7,57.0,46.0,12K
417, Robin and Marian,1976,6.5,65.0,73.0,14K
418, Lipstick,1976,5.6,56.0,37.0,2.8K
419," That's Entertainment, Part II",1976,7.3,73.0,67.0,2.4K
420,Star Wars: Episode IV - A New Hope,1977,8.6,86.0,90.0,1.5M
421,Close Encounters of the Third Kind,1977,7.6,76.0,90.0,218K
422,Smokey and the Bandit,1977,7.0,70.0,50.0,57K
423,The Goodbye Girl,1977,7.4,74.0,64.0,16K
424,Saturday Night Fever,1977,6.8,68.0,77.0,88K
425,The Rescuers,1977,6.9,69.0,74.0,70K
426,A Bridge Too Far,1977,7.4,74.0,63.0,62K
427,The Spy Who Loved Me,1977,7.0,70.0,55.0,117K
428,"Oh, God!",1977,6.6,66.0,56.0,11K
429, Pete's Dragon,1977,6.3,63.0,46.0,27K
430, Annie Hall,1977,8.0,80.0,92.0,279K
431, Semi-Tough,1977,5.9,59.0,68.0,3.5K
432, The Gauntlet,1977,6.4,64.0,59.0,25K
433, The Turning Point,1977,6.8,68.0,68.0,5.2K
434, Heroes,1977,6.0,60.0,35.0,2.1K
435, High Anxiety,1977,6.6,66.0,55.0,24K
436, Exorcist II: The Heretic,1977,3.8,38.0,39.0,28K
437, Airport '77,1977,5.8,58.0,36.0,12K
438, Slap Shot,1977,7.3,73.0,61.0,41K
439, The Hills Have Eyes,1977,6.3,63.0,64.0,39K
440, For the Love of Benji,1977,5.9,59.0,46.0,1.2K
441, The Bad News Bears in Breaking Training,1977,5.6,56.0,47.0,3.7K
442,Grease,1978,7.2,72.0,70.0,302K
443,Superman,1978,7.4,74.0,82.0,188K
444,Every Which Way But Loose,1978,6.3,63.0,41.0,30K
445,Jaws 2,1978,5.8,58.0,51.0,85K
446,Heaven Can Wait,1978,6.9,69.0,72.0,24K
447,Hooper,1978,6.4,64.0,70.0,8K
448,The Deer Hunter,1978,8.1,81.0,90.0,363K
449,Halloween,1978,7.7,77.0,90.0,308K
450,Convoy,1978,6.3,63.0,47.0,19K
451, Foul Play,1978,6.8,68.0,45.0,17K
452, Up in Smoke,1978,6.9,69.0,57.0,41K
453, Midnight Express,1978,7.5,75.0,59.0,88K
454, Coming Home,1978,7.3,73.0,61.0,15K
455, House Calls,1978,6.6,66.0,49.0,2K
456, Magic,1978,6.8,68.0,49.0,14K
457, Invasion of the Body Snatchers,1978,7.4,74.0,75.0,70K
458, An Unmarried Woman,1978,7.2,72.0,79.0,6.1K
459, The Wiz,1978,5.5,55.0,53.0,17K
460, Ice Castles,1978,6.5,65.0,51.0,4.1K
